Age Range,Experience,Industry,Job Title,Education,Country,Annual Salary,Annual Bonus,Signon Bonus,Gender
18-21,1,Consulting,Business Office Manager,Bachelor's Degree,Canada,31042.2,0.0,0.0,Female
18-21,1,Retail,Account Coordinator,Bachelor's Degree,United States,37000.0,1200.0,0.0,Female
18-21,1,Air Transportation,Engineer,Bachelor's Degree,United States,75000.0,0.0,3000.0,Female
18-21,1,Accounting,Controller,No Schooling,United Kingdom,24862.5,318.75,0.0,Female
18-21,1,Accounting,Accountant,High School Diploma,Netherlands,32664.0,2395.36,0.0,Female
18-21,2,Accounting,Actuarial Associate,High School Diploma,United Kingdom,31237.5,1912.5,0.0,Female
18-21,1,Accounting,Staff Accountant,Master's Degree,United States,58000.0,0.0,0.0,Female
18-21,1,Accounting,Intern,Associate Degree,United States,44160.0,500.0,0.0,Female
18-21,1,Accounting,Consultant,Bachelor's Degree,United States,66600.0,0.0,0.0,Male
18-21,1,Accounting,Quality Assurance Analysts And Testers,Bachelor's Degree,Canada,40650.5,0.0,1478.2,Male
18-21,1,Accounting,Audit Associate,Master's Degree,United States,63500.0,0.0,3000.0,Female
18-21,1,Accounting,Brokerage Purchase-And-Sale Clerk,Bachelor's Degree,United States,50000.0,0.0,5000.0,Female
18-21,1,Accounting,Consultant,Bachelor's Degree,United States,62000.0,0.0,5000.0,Female
18-21,1,Accounting,Consultant,Master's Degree,United States,80000.0,0.0,6000.0,Female
18-21,1,Accounting,Auditor,Bachelor's Degree,United States,62000.0,0.0,8000.0,Female
18-21,1,Accounting,Tax Accountant,Master's Degree,United States,77000.0,0.0,5000.0,Female
18-21,1,Accounting,Bank Compliance Officer,High School Diploma,Australia,19668.0,0.0,0.0,Female
18-21,2,Accounting,Accounting Assistant,Some college,United States,34000.0,0.0,0.0,Female
18-21,1,Accounting,Accounting,Bachelor's Degree,Canada,36215.9,0.0,0.0,Female
18-21,1,Accounting,Accountant,Bachelor's Degree,United States,50000.0,0.0,0.0,Female
18-21,1,Accounting,Staff Accountant,Bachelor's Degree,United States,53000.0,0.0,0.0,Female
18-21,1,Accounting,Staff Accountant,Some college,Canada,40650.5,0.0,0.0,Female
18-21,1,Accounting,Associate Strategist,Bachelor's Degree,United States,55000.0,0.0,0.0,Female
18-21,1,Accounting,Tax Clerk,Bachelor's Degree,United States,58000.0,0.0,0.0,Female
18-21,1,Accounting,Consultant,Bachelor's Degree,New Zealand,35771.7,0.0,0.0,Female
18-21,1,Accounting,Associate Strategist,Bachelor's Degree,United States,65000.0,0.0,0.0,Female
18-21,1,Accounting,Audit Associate,Master's Degree,United States,74000.0,0.0,0.0,Female
18-21,1,Accounting,Audit Associate,Bachelor's Degree,United States,77000.0,0.0,0.0,Female
18-21,1,Accounting,Butcher Apprentice,High School Diploma,United Kingdom,24862.5,1275.0,0.0,Female
18-21,1,Accounting,Staff Accountant,Bachelor's Degree,United States,50000.0,1000.0,0.0,Female
18-21,1,Accounting,Fund Accountant,Bachelor's Degree,United States,56000.0,3000.0,0.0,Female
18-21,1,Accounting,Auditor,Bachelor's Degree,Ireland,29397.6,0.0,0.0,Male
18-21,1,Accounting,Accountant,Bachelor's Degree,Australia,31468.8,0.0,0.0,Male
18-21,1,Accounting,Auditor,Bachelor's Degree,United States,51500.0,0.0,0.0,Male
18-21,1,Accounting,Audit Associate,Bachelor's Degree,United States,68000.0,0.0,0.0,Male
18-21,2,Accounting,Accountant,Bachelor's Degree,Canada,36955.0,1478.2,0.0,Male
18-21,1,Accounting,Manager,Bachelor's Degree,Australia,18356.8,0.0,0.0,Male
18-21,1,Accounting,Controller,Bachelor's Degree,United States,80000.0,6000.0,0.0,Male
18-21,1,Accounting,Other,Bachelor's Degree,United States,145600.0,0.0,2.0,Female
18-21,1,Accounting,Accounting,Bachelor's Degree,United States,80000.0,0.0,1000.0,Female
18-21,1,Accounting,Auditor,Bachelor's Degree,United States,58000.0,0.0,6000.0,Male
18-21,4,Accounting,Accountant,Bachelor's Degree,United States,16000.0,0.0,0.0,Female
18-21,1,Accounting,Associate Strategist,Bachelor's Degree,United States,54000.0,0.0,0.0,Female
18-21,1,Accounting,Staff Accountant,Bachelor's Degree,United States,55000.0,0.0,0.0,Female
18-21,1,Accounting,Accountant,Bachelor's Degree,United States,58000.0,0.0,0.0,Female
18-21,2,Accounting,Actuarial Associate,Bachelor's Degree,United States,62000.0,0.0,0.0,Female
18-21,1,Accounting,Audit Associate,Bachelor's Degree,United States,70000.0,0.0,0.0,Female
18-21,1,Accounting,Tax Accountant,Bachelor's Degree,United States,75000.0,0.0,0.0,Female
18-21,1,Accounting,Auditor,High School Diploma,United States,31000.0,300.0,0.0,Female
18-21,1,Accounting,Audit Associate,Bachelor's Degree,United Kingdom,23842.5,1275.0,0.0,Female
18-21,3,Accounting,Database Administration Manager,High School Diploma,United States,39000.0,1000.0,0.0,Female
18-21,1,Accounting,Associate Strategist,Bachelor's Degree,United States,63000.0,6300.0,0.0,Female
18-21,2,Accounting,Auditor,Bachelor's Degree,United States,65000.0,15000.0,0.0,Male
18-21,4,Accounting,Accountant,Associate Degree,United States,24404.0,0.0,0.0,Female
18-21,1,Accounting,Technology,Bachelor's Degree,United States,72000.0,0.0,0.0,Female
18-21,4,Accounting,Financial Officer,Bachelor's Degree,Canada,43762.85,369.55,0.0,Male
18-21,1,Accounting,Accountant,Some college,Australia,27549.95,0.0,0.0,Female
18-21,1,Advertising,Coo,Bachelor's Degree,United States,70000.0,0.0,0.0,Female
18-21,4,Administration,Admissions Assistant,Bachelor's Degree,United States,41000.0,0.0,0.0,Female
18-21,2,Administration,Administrative Assistant,Some college,Canada,52476.1,2549.89,0.0,Female
18-21,4,Administration,Administrative Assistant,Some college,United States,84000.0,0.0,0.0,Female
18-21,1,Administration,Administrative Assistant,High School Diploma,Australia,32780.0,0.0,0.0,Female
18-21,1,Advertising,Marketing,Bachelor's Degree,United States,60000.0,0.0,0.0,Female
18-21,2,Entertainment/Tv,Content Creator,High School Diploma,United States,150000.0,0.0,0.0,Female
18-21,4,Entertainment/Tv,Other,No Schooling,United States,312000.0,5000.0,0.0,Male
18-21,4,Entertainment/Tv,Department Store Manager,Some college,United States,45000.0,4000.0,0.0,Female
18-21,1,Advertising,Assistant Account Executive,Bachelor's Degree,United States,45000.0,0.0,0.0,Female
18-21,1,Advertising,Associate Strategist,Bachelor's Degree,United States,50000.0,0.0,0.0,Female
18-21,1,Advertising,Marketing,Bachelor's Degree,United States,52000.0,0.0,0.0,Female
18-21,1,Advertising,Analyst,Bachelor's Degree,United States,40000.0,0.0,0.0,Female
18-21,1,Advertising,Assistant Account Executive,Bachelor's Degree,United States,45000.0,0.0,0.0,Female
18-21,1,Advertising,Manager,Bachelor's Degree,United States,45000.0,0.0,0.0,Female
18-21,2,Advertising,Media Relations Specialist,Bachelor's Degree,United States,45000.0,0.0,0.0,Female
18-21,1,Advertising,Coo,Bachelor's Degree,United States,50000.0,1000.0,0.0,Female
18-21,1,Advertising,Analyst,Bachelor's Degree,United States,64000.0,6000.0,0.0,Female
18-21,3,Advertising,Administrative Assistant,High School Diploma,United States,62000.0,6000.0,0.0,Female
18-21,1,Advertising,Other,Bachelor's Degree,United States,50000.0,0.0,0.0,Female
18-21,1,Advertising,Emt-I/85,No Schooling,United States,18000.0,500.0,0.0,Female
18-21,1,Aerospace,Engineer,Bachelor's Degree,United States,79000.0,0.0,0.0,Male
18-21,1,Aerospace,Business,Bachelor's Degree,United States,19000.0,2000.0,0.0,Male
18-21,1,Aerospace,Structural Engineer,Bachelor's Degree,United States,66500.0,6000.0,2000.0,Male
18-21,1,Aerospace,Computer Systems Engineer,Bachelor's Degree,United States,79000.0,0.0,7500.0,Female
18-21,1,Aerospace,Engineer,Bachelor's Degree,United States,78500.0,0.0,0.0,Female
18-21,2,Aerospace,Engineer,Bachelor's Degree,United States,92500.0,8000.0,0.0,Male
18-21,1,Aerospace,Software Engineer,Bachelor's Degree,United States,80000.0,0.0,2000.0,Male
18-21,1,Aerospace,Engineer,Bachelor's Degree,United States,65000.0,5000.0,0.0,Male
18-21,2,Aerospace,Computer Systems Engineer,Bachelor's Degree,United States,80000.0,6000.0,0.0,Female
18-21,1,Aerospace,Analyst,Bachelor's Degree,United States,91000.0,0.0,3500.0,Male
18-21,1,Aerospace,Manager,Bachelor's Degree,United States,70000.0,0.0,0.0,Male
